2018-11-30 10-PM,BTCUSD,3934.69,3950,3883.1,3944.95,288.47,1128423.47
2018-11-30 09-PM,BTCUSD,3950,3980.89,3872.84,3934.69,710.0,2786301.84
2018-11-30 08-PM,BTCUSD,3969.62,3979.63,3939.82,3950,550.6,2183367.08
2018-11-30 07-PM,BTCUSD,3970.2,3998,3957.82,3969.62,272.15,1082333.15
2018-11-30 06-PM,BTCUSD,3992.22,4002.48,3955.48,3970.2,489.36,1948360.67
2018-11-30 05-PM,BTCUSD,4011.9,4024.57,3975.8,3992.22,472.42,1887269.78
2018-11-30 04-PM,BTCUSD,3968.97,4020.64,3955,4011.9,504.98,2013626.17
2018-11-30 03-PM,BTCUSD,3973.16,3980,3906.71,3968.97,888.1,3507807.73
2018-11-30 02-PM,BTCUSD,3983.38,3989.51,3931.11,3973.16,464.7,1842159.72
2018-11-30 01-PM,BTCUSD,3970.94,4019.3,3950.71,3983.38,836.27,3327442.87
2018-11-30 12-PM,BTCUSD,3941.68,3990.62,3861,3970.94,1745.14,6840980.76
2018-11-30 11-AM,BTCUSD,4023.02,4035.06,3920.35,3941.68,1509.48,5982723.51
2018-11-30 10-AM,BTCUSD,4166.11,4171.52,4020.64,4023.02,1385.82,5641758.18
2018-11-30 09-AM,BTCUSD,4167.53,4188.07,4146.02,4166.11,357.69,1490816.94
2018-11-30 08-AM,BTCUSD,4166.37,4200.34,4134.74,4167.53,509.97,2128262.04
2018-11-30 07-AM,BTCUSD,4226.16,4235.35,4148.71,4166.37,800.74,3342425.79
2018-11-30 06-AM,BTCUSD,4262.16,4281.19,4226.16,4226.16,236.38,1007180.75
2018-11-30 05-AM,BTCUSD,4270.32,4300,4256.81,4262.16,251.81,1078343.27
2018-11-30 04-AM,BTCUSD,4255,4289.82,4225.78,4270.32,256.86,1091975.47
2018-11-30 03-AM,BTCUSD,4269.53,4290.32,4241.19,4255,401.53,1711561.37
2018-11-30 02-AM,BTCUSD,4203.09,4280,4193.43,4269.53,534.42,2268228.41
2018-11-30 01-AM,BTCUSD,4200.42,4221.75,4168.08,4203.09,402.37,1688808.75
2018-11-30 12-AM,BTCUSD,4249.8,4265,4174.08,4200.42,264.11,1112753.33
2018-11-29 11-PM,BTCUSD,4222.79,4264.47,4210.23,4249.8,369.57,1567063.18
2018-11-29 10-PM,BTCUSD,4186.06,4234.13,4157.83,4222.79,291.65,1225414.11
